Date,D2G
1790,29.6
1791,29.2
1792,28.0
1793,24.4
1794,21.8
1795,18.7
1796,16.4
1797,16.5
1798,16.0
1799,15.8
1800,15.1
1801,13.3
1802,13.9
1803,14.1
1804,13.2
1805,10.9
1806,10.0
1807,9.5
1808,8.9
1809,7.4
1810,6.2
1811,5.7
1812,6.8
1813,8.2
1814,8.5
1815,10.2
1816,9.6
1817,7.8
1818,7.0
1819,7.4
1820,8.3
1821,9.1
1822,8.1
1823,8.3
1824,7.6
1825,6.5
1826,6.3
1827,5.7
1828,4.8
1829,3.9
1830,3.2
1831,1.8
1832,0.5
1833,0.3
1834,0.0
1835,0.0
1836,0.0
1837,0.2
1838,0.6
1839,0.2
1840,0.3
1841,0.8
1842,1.2
1843,1.5
1844,1.0
1845,0.7
1846,1.2
1847,1.7
1848,2.2
1849,2.5
1850,2.3
1851,2.4
1852,2.0
1853,1.4
1854,1.1
1855,0.9
1856,0.7
1857,0.9
1858,1.2
1859,1.5
1860,1.9
1861,7.2
1862,16.8
1863,23.8
1864,25.6
1865,31.0
1866,31.4
1867,31.4
1868,30.5
1869,30.0
1870,27.9
1871,25.7
1872,24.4
1873,23.2
1874,24.0
1875,23.7
1876,24.1
1877,23.9
1878,25.5
1879,23.0
1880,18.4
1881,16.8
1882,14.3
1883,13.5
1884,13.3
1885,13.2
1886,12.4
1887,11.2
1888,10.2
1889,8.6
1890,7.8
1891,7.0
1892,6.6
1893,6.8
1894,7.9
1895,7.9
1896,8.5
1897,8.0
1898,8.4
1899,7.5
1900,6.6
1901,5.7
1902,5.4
1903,5.0
1904,4.7
1905,4.3
1906,4.0
1907,4.0
1908,4.3
1909,3.8
1910,3.7
1911,3.6
1912,3.4
1913,3.2
1914,3.5
1915,3.3
1916,2.7
1917,13.3
1918,30.2
1919,33.4
1920,27.3
1921,31.6
1922,31.1
1923,25.2
1924,23.5
1925,21.6
1926,19.0
1927,18.0
1928,17.0
1929,14.9
1930,16.5
1931,22.3
1932,34.5
1933,39.1
1934,44.0
1935,42.9
1936,43.0
1937,40.1
1938,42.8
1939,51.58556
1940,49.27162
1941,44.46713
1942,47.72464
1943,70.21725
1944,90.93461
1945,114.07545
1946,119.10256
1947,102.99821
1948,91.81398
1949,92.70575
1950,85.68274
1951,73.59173
1952,70.53392
1953,68.34216
1954,69.33829
1955,64.49217
1956,60.68725
1957,57.44253
1958,58.12202
1959,55.11316
1960,53.56004
1961,52.0447
1962,50.15548
1963,48.67833
1964,46.18239
1965,43.41975
1966,40.38534
1967,39.58328
1968,39.19626
1969,35.9468
1970,35.48858
1971,35.04314
1972,34.07838
1973,32.71418
1974,31.31546
1975,32.16207
1976,33.5751
1977,33.93175
1978,33.02434
1979,31.57194
1980,31.81317
1981,31.01925
1982,34.01231
1983,37.74589
1984,38.75062
1985,41.88543
1986,46.30286
1987,48.31918
1988,49.67308
1989,50.83328
1990,53.76862
1991,58.43008
1992,61.37422
1993,63.43898
1994,63.71826
1995,64.40788
1996,64.18211
1997,62.59595
1998,60.44699
1999,58.20164
2000,54.90905
2001,54.52598
2002,56.7146
2003,59.00606
2004,60.19957
2005,60.6272
2006,61.17295
2007,61.83888
2008,67.61133
2009,82.02683
2010,89.89851
2011,94.64394
2012,98.75064
2013,99.26501
2014,101.38919
2015,99.52805
2016,104.51666
2017,103.73954
2018,104.52559
2019,106.0265
2020,127.73929
2021,121.74781
2022,121.11274